SER,Distance,Speed,TIME
45,0.13,24.927574370709383,6
45,0.13,23.596270676691727,7
45,0.13,20.70064154224203,8
45,0.13,19.677931778243938,9
45,0.13,17.943682401962175,10
45,0.13,15.708423721888817,11
45,0.13,15.38981430734562,12
45,0.13,16.808049947748742,13
45,0.13,16.34890342962597,14
45,0.13,15.010115013405235,15
45,0.13,14.17334299316072,16
45,0.13,16.44634760442673,17
45,0.13,15.423050206810284,18
45,0.13,14.100379910741504,19
45,0.13,16.454363189642084,20
45,0.13,17.939027855668822,21
45,0.13,17.92358518316893,22
45,0.13,22.604948141103744,23
46,0.142,21.32514757969304,0
46,0.142,22.65064370412196,1
46,0.142,22.019960908656554,2
46,0.142,22.161942405420664,3
46,0.142,21.058032228112836,4
46,0.142,21.755604221337006,5
46,0.142,23.04441106719368,6
46,0.142,22.594276679841894,7
46,0.142,17.380248811343566,8
46,0.142,15.145151352816987,9
46,0.142,15.074350907827247,10
46,0.142,15.951890868821103,11
46,0.142,17.240895761602744,12
46,0.142,14.348816734877419,13
46,0.142,15.29317791269497,14
46,0.142,13.072831670175328,15
46,0.142,12.965815037630518,16
46,0.142,13.849992753664054,17
46,0.142,13.33171186489177,18
46,0.142,12.431527804510232,19
46,0.142,13.517080753257744,20
46,0.142,17.920014651192304,21
46,0.142,16.96034679248389,22
46,0.142,20.094293598913165,23
47,0.191,20.573808651026397,0
47,0.191,20.76806916144201,1
47,0.191,20.381259042681457,2
47,0.191,21.288416927899686,3
47,0.191,18.54963474025974,4
47,0.191,19.582133154202122,5
47,0.191,20.64297732951706,6
47,0.191,19.733131213613976,7
47,0.191,15.162839766575265,8
47,0.191,14.39051382897024,9
47,0.191,13.17326334947452,10
47,0.191,14.429181818181819,11
47,0.191,12.613801054018445,12
47,0.191,12.973262100409123,13
47,0.191,12.762008777670468,14
47,0.191,13.870611781429854,15
47,0.191,11.615866016255639,16
47,0.191,13.081384568105793,17
47,0.191,13.643965929986955,18
47,0.191,10.348702235039653,19
47,0.191,11.209296772068512,20
47,0.191,15.543627772222452,21
47,0.191,14.637632963769127,22
47,0.191,20.14667314593302,23
48,0.134,16.068964717854353,0
48,0.134,17.78976037745685,1
48,0.134,16.318840437987316,2
48,0.134,15.795370701745902,3
48,0.134,15.372981711909024,4
48,0.134,15.579991571034762,5
48,0.134,17.153939321709064,6
48,0.134,15.738784191481972,7
48,0.134,14.31548920123216,8
48,0.134,13.352958267677762,9
48,0.134,11.138485604922193,10
48,0.134,12.345679160419792,11
48,0.134,11.825002192781163,12
48,0.134,12.47322097700607,13
48,0.134,10.542435945749205,14
48,0.134,10.876157685953194,15
48,0.134,11.446366098062562,16
48,0.134,11.486845135462167,17
48,0.134,11.805942056059168,18
48,0.134,11.070910773186881,19
48,0.134,12.24291084049812,20
48,0.134,13.826476682917939,21
48,0.134,14.84771297559478,22
48,0.134,15.940342409440442,23
49,0.161,21.73151515151515,0
49,0.161,23.6030487804878,1
49,0.161,21.832621524816645,2
49,0.161,22.020661246612466,3
49,0.161,22.63857142857143,4
49,0.161,24.395925070661914,5
49,0.161,20.85160898829864,6
49,0.161,21.15685823754789,7
49,0.161,17.30886939258121,8
49,0.161,16.641765559119612,9
49,0.161,15.918955830057564,10
49,0.161,15.351037810007746,11
49,0.161,15.355965396709937,12
49,0.161,16.073050492823008,13
49,0.161,15.883959719744906,14
49,0.161,14.301508432332026,15
49,0.161,14.38430315824607,16
49,0.161,14.273979779409819,17
49,0.161,13.635317797437644,18
49,0.161,14.207861024398175,19
49,0.161,16.04103936259504,20
49,0.161,17.579063555494898,21
49,0.161,19.531577385503475,22
49,0.161,19.76770244390366,23
51,0.12,24.272727272727273,0
51,0.12,22.902262443438914,1
51,0.12,23.662721893491128,2
51,0.12,24.2,3
51,0.12,23.057142857142857,4
51,0.12,23.998355864084765,5
51,0.12,23.50434782608696,6
51,0.12,23.347692307692306,7
51,0.12,20.8201500362991,8
51,0.12,18.24438795986622,9
51,0.12,17.36431115682347,10
51,0.12,17.153858377440134,11
51,0.12,16.710180258393247,12
51,0.12,15.918675080944269,13
51,0.12,15.718338804053092,14
51,0.12,14.43000027000027,15
51,0.12,14.174226314226319,16
51,0.12,14.58255335398193,17
51,0.12,15.702690822690824,18
51,0.12,14.007618040354611,19
51,0.12,17.022401513947678,20
51,0.12,16.36300464829942,21
51,0.12,17.502560048647002,22
51,0.12,19.884946632315053,23
52,3.969,20.664886273963972,0
52,3.969,18.73736783484242,1
52,3.969,19.76097755835684,2
52,3.969,20.812768255857502,3
52,3.969,19.970472956152843,4
52,3.969,20.247723232638883,5
52,4.894,19.756316780335265,6
52,3.832,20.326948284961986,7
52,3.832,16.710511719218136,8
52,3.832,15.537023193205066,9
52,3.832,16.663355287737918,10
52,3.832,15.806262315814516,11
52,3.832,16.335231551584183,12
